city,count
DELBARTON,6
POLK CITY,101
MOUNTAIN CREEK,1
MIRANDO CITY,1
POWDERHORN,1
SOUTH MILLS,14
EL MONTE,164
HAT ISLAND,1
SPRING CHURCH,1
PARSONS,63
MONTEREY,129
SLIDELL,366
ROBERTA,9
BAIE-COMEAU,1
JOHNSONBURG,8
CEDARTOWN,82
CHANNELVIEW,70
BEL ALTON,4
DEKALB,83
NEWMAN,71
CAPE VINCENT,9
FOUNTAINTOWN,9
EARLIMART,11
NEW WASHINGTON,13
CENTERVILLE,263
HOUGHTON LAKE,26
DUNCAN FALLS,5
PALACIOS,34
STAR PRAIRIE,3
NEW YORK MILLS,9
FLORISSANT,420
WALLOPS ISLAND,1
HOLIDAY HILLS,2
CHIPPEWA FLS,15
LENOX,29
MORGANVILLE,66
SHIRLAND,1
RREW,1
CLARENDON,15
IRENE,1
RADIANT,1
RUTHERFORD,72
EAST KINGSTON,4
MORGANTOWN,167
GOLDENS BRIDGE,2
W SILOAM SPGS,1
CLIFTON SPGS,1
COLLEGE GROVE,28
POWELLTON,1
MELCHER DALLAS,3
GRAVEL SWITCH,1
NAVESINK,1
SHORTERVILLE,3
ESPARTO,21
MINOR HILL,3
PERSIA,2
WHEELWRIGHT,1
WASH BORO,1
EL NIDO,1
SCHERTZ,147
BACLIFF,25
LITTLE COMPTON,3
MECHANIC FALLS,5
WOODLAKE,14
AVENEL,50
ELBA,26
SAINTE GENEVIEVE,18
APPLE RIVER,8
ELBE,1
ALBANY TWP,1
GLENMOORE,15
PENOBSCOT,2
SHADY SPRING,3
EMELLE,3
RULEVILLE,7
HARVEST,115
FAIRFAX STA,11
GARNER,137
TEXHOMA,3
ELKHART LAKE,5
DUNSEITH,3
LOUISBURG,81
OAKFIELD,19
ELDORA,6
CORYDON,84
WEST CAPE MAY,3
BRINKLOW,1
TEACHEY,5
JEMEZ PUEBLO,5
LAKE BENTON,4
BAXLEY,52
LOUDONVILLE,21
TWIN CITY,10
ROBBINS,29
ROBERTS,30
HIRAM,115
GAMBIER,5
HUME,5
LA PORTE CITY,3
PONTE VEDRA,386
BEULAH,19
DANFORTH,4
COGAN STATION,7
NORTHUMBERLND,3
UNIVERSITY CY,5
BROOKPARK,30
LAKE LINDEN,2
WENONA,6
BROAD BOTTOM,3
HAZLE TOWNSHP,1
ELLETTSVILLE,26
ELLINGER,2
HULL,61
SULA,5
GIBSLAND,5
COPLAY,20
ELCO,1
OAK VIEW,40
SANTA CLARITA AREA,1
WASHINGTON TOWNSHIP,17
MAGNOLIA SPRINGS,6
INGALLS,10
FORT HOOD,4
MOBILE,762
INDIAN ORCH,1
NARVON,5
STAGECOACH,6
UNIVERSAL,1
COHUTTA,20
DICE,1
ALABASTER,87
UMPQUA,2
LESLIE,25
AVENAL,11
PATCH GROVE,1
BROXTON,4
COUNTRY CLUB,4
TAMAROA,3
BEGGS,11
CAMP CONNELL,7
ROTONDA WEST,213
STEPHENS,9
UPPER SADDLE RIVER,37
SHANKS,2
CHEVY CHASE,64
HIGHLAND LKS,5
ROCKFALL,7
DUETTE,5
ELSINORE,3
CAMBRIA HTS,6
WEST SPRINGFIELD,40
FLAT LICK,4
GREEN TOWNSHIP,2
BILTMORE LAKE,2
CROOKSTON,29
HUNT,6
RICHWOOD,56
WESTBOROUGH,22
MONESSEN,19
DE QUEEN,8
LOSANTVILLE,4
KINGSLEY LAKE,3
SAINT JOHNS,489
LETONA,1
RED FEATHERS LAKE,1
UNIVERSITY HT,1
EAGARVILLE,1
NEW LIMERICK,1
GRACEVILLE,27
TAHUYA,9
ZEARING,1
WEST HELENA,8
HICKORY RIDGE,2
LK WORTH BCH,5
PORTAGE,303
KNIGHTS LANDING,3
ZEBULON,71
LAURELVILLE,13
WEST BEND,119
THORNTOWN,8
RINDGE,15
SANTA SUSANA,2
CLARKS,3
SAN JUAN BAUTISTA,24
EAST MILLINOCKET,2
ELMIRA,94
EMMET,4
IVANHOE,13
SHADYSIDE,10
ARROWBEAR,2
RED HOUSE,3
SOUTH FARMINGDALE,1
ANGIE,11
HESTAND,1
LONGPORT,6
COAL VALLEY,17
UPATOI,2
CONVERSE,250
ROMEOVILLE,144
SOQUEL,45
JESSIEVILLE,4
RED BANKS,3
BEDFORD HTS,6
GUSTINE,17
HUMANSVILLE,5
MARINE ON SAINT CROIX,5
SIBLEY,22
NORTH TUSTIN,9
FLORHAM PARK,36
JERUSALEM,2
RDG MNR EST,1
OAKLEY,290
LA GRANGE HIGHLANDS,11
BIG PINE KEY,44
NEW BEDFORD,107
NEW BRAINTREE,2
TOLLESON,234
LIBRARY,2
BALATON,1
CLARKSBURG,179
BALDWIN HILLS,2
HURT,11
GAMERCO,3
NORTH WATERBORO,8
WARSAW,184
WHITE DEER,3
ACWORTH,399
PIONEERTOWN,2
SHELL KNOB,19
MONTVERDE,31
FALL CITY,11
PORT CHARLOTTE,983
LAYTON,241
NEW GRETNA,2
ST JAMES CITY,38
CHUCKEY,20
KETTERING,61
ST AUGUSTINE,841
GRAND PASS,1
YEADDISS,1
COLERAINE,2
RIDGELEY,6
ORION CHARTER TOWNSHIP,1
CAMERON MILLS,2
DELAWARE WATER GAP,1
VIRGINIA CITY,3
SAUNEMIN,3
COLUMBIA FALLS,33
ELMA,49
SOREL-TRACY,1
WILLIAMSTOWN,214
WEST GRANBY,7
CENTRAL POINT,49
ELKO,62
ELFIN FOREST,1
STORY,3
JUNIATA,2
MOUNTAIN GROVE,18
COLUMBIA HEIGHTS,38
ST TERESA,2
ALTURAS,19
BALSAM GROVE,1
RED LION,54
RED WING,47
TULLY,9
HARRISON CITY,7
TULIA,4
PORUM,6
GALESTOWN,1
COVINGTON TOWNSHIP,5
BANCROFT,13
SEA ISLE CITY,18
HAVANA,67
MOUNT IDA,6
ALIQUIPPA,79
STEELTON,15
EL SEGUNDO,36
FORD,10
DULCE,2
MOUNT CRAWFORD,2
LONE STAR,6
NORTH ATTLEBOROUGH,1
SAN PATRICIO,1
ELMO,1
HEMPSTEAD,97
ULLIN,1
ATLANTIC BEACH,145
TIERRA VERDE,57
NEW FLORENCE,12
HILL AFB,3
PLMA,1
BAKER CITY,26
GOODSON,1
MANASQUAN,43
BLOWING ROCK,15
DIKE,5
BELVILLE,6
HAYSI,2
BURFORDVILLE,3
MULKEYTOWN,1
STRATHAM,18
RILEYVILLE,2
FOSS,5
WIXOM,35
GLASSELL PARK,1
WELCH,6
LINDON,21
LONGVILLE,16
BERCLAIR,1
SURRY,17
APOPKA,628
OLIVE DRIVE,1
OKLAUNION,1
DULAC,7
PALL MALL,2
HAYTI,9
WEST FULTON,2
BRIARCLIFF MANOR,19
ELON,17
BARNWELL,26
NORT PORT,1
TAMAQUA,36
ELOY,49
NIAGARA ON THE LAKE,1
CORNELIA,33
FIRCREST,21
COUNCIL HILL,3
ORVILLE,1
RAPID CITY,280
PARK FALLS,15
HENDRUM,2
BINGHAMTON,130
NICOLLET,2
KLAHANIE,1
PARADISE,102
SADORUS,2
MANHATTAN BCH,14
ORO GRANDE,4
E HAZEL CREST,3
HAVASU LAKE,1
KOKOMO,225
INDIAN CREEK VILLAGE,1
MONDOVI,6
PENNSYLVANIA,2
E GREENBUSH,5
BIG SANDY,31
ELSA,12
GLEN ELLYN,123
LINVILLE,5
ST ROBERT,1
WELLESLEY ISLAND,1
SOUTH WAYNE,1
CAMP WOOD,1
DEWEY BEACH,12
MALABAR,56
AVONDALE,663
BATTLEMENT MESA,2
DALWORTHINGTON GARDENS,2
WOODRUFF,50
MOUNUMENT,1
LITTLE VALLEY,1
COOS BAY,66
TAMARAC,433
MCCLEARY,8
RICHFIELD,130
ADAMS RUN,5
RIVER,1
EAST FALMOUTH,46
CAPE ELIZABETH,14
LILESVILLE,1
DAUFUSKIE ISLAND,3
SANDY SPRING,10
DARBY,70
POSEN,21
EL LAGO,28
NOLENSVILLE,113
MINONK,4
MINONG,4
BLOOMSDALE,7
GULF STREAM,2
HUSON,5
BAYOU LA BATRE,2
PRINCETON,535
ORO VALLEY,150
SEELEY,3
ESSEX FELLS,6
LEMAY,4
LYNCHBURG,253
OBSERVATORY,1
POSEY,8
ZION,68
WILDORADO,1
SECOR,4
TOWNLEY,2
VERONA,195
JAMESVILLE,24
BROCK,14
LEESBURG,757
WALL LAKE,3
WHITMORE LAKE,42
NORWOOD,129
SCREVEN,5
UNDERWOOD,19
ABSECON,43
HOPE VALLEY,4
BAY SHORE,100
NOBLETON,3
FRIENDSWOOD,293
COLLBRAN,3
MANGHAM,1
CULLEOKA,14
KENTON,42
STOUT,5
PIGEON FORGE,25
FORT BENNING,7
MOMEYER,1
LAKE HILL,3
BEAVER FALLS,66
SUPERIOR TOWNSHIP,4
LAKE CLARKE SHORES,9
OLANTA,10
SLATINGTON,25
BAY VILLAGE,37
BETHANY,80
SOUTH LAKE TAHOE,234
WELLS,45
FOXBOROUGH,8
PLUM,4
SPENCER,127
COLLIERS,4
INCHELIUM,3
PEGRAM,9
COMBES,1
HIGHSPIRE,5
TULSA,1233
MEDINA,258
VINEMONT,10
BEAVER CROSSING,2
DEWY ROSE,2
PLEASANTON,396
BRUCE TWP,24
BEECH GROVE,63
CECILTON,1
FISH CREEK,4
OTTUMWA,74
STRINGER,2
HUSUM,1
MC KNIGHT,5
ALBUQ,1
EAST TAWAKONI,3
ROXBURY TOWNSHIP,1
CENTEREACH,48
STOWE,15
INDIAN RK BCH,14
MAYFIELD VLG,2
BRACEY,11
BURLNGTN CITY,1
HANOVER PARK,121
NEWTON FALLS,24
CASTANA,4
MT LEMMON,2
BELPRE,19
MERCERVILLE,5
SHULLSBURG,3
VALLES MINES,2
ZEELAND,35
VAN HORNESVILLE,1
EAST BANK,1
COWANESQUE,1
ABBOTSFORD,1
BONNERS FERRY,20
NORDEN,2
CENTRAL SQUARE,10
POINT ARENA,4
AMERY,21
WILLOW STREET,17
THORNDALE,18
HACKLEBURG,5
BONNYMAN,1
WEST VALLEY,36
BAD AXE,12
GLEN EASTON,2
HUTCHINS,21
THURMONT,26
JONQUIERE,1
LOGAN TWP,1
SEVEN VALLEYS,13
MC RAE HELENA,9
BROKEN BOW,46
AZALEA,2
THURMOND,3
ROUND TOP,5
MARRIETTA,1
COLLEGEVILLE,165
MAYWWOD,1
RONALD,3
HENDRIX,1
POWELL,248
FORT THOMPSON,2
OAK ISLAND,77
CONDON,5
N GROSVENORDL,1
LEDYARD,38
PERKIOMENVLLE,4
CROSS TIMBERS,1
NORTH PLAINFIELD,55
OVERTON,28
URBANDALE,114
MIDDLE ISLAND,34
BARRYTON,3
NEW MADRID,5
VASHON,30
GLENDALE HEIGHTS,92
BLACK EAGLE,4
DEL VALLE,47
FLOURTOWN,10
MOLENA,5
MIDWEST,1
BORGER,30
WEST LEISENRING,1
NEWNAN,321
LEMOORE,118
SALISAW,1
LA FERIA,19
YOUNTVILLE,7
CHERRY HILLS,3
SCHUYKL HAVN,5
BOALSBURG,2
CASTAIC,96
TALALA,4
GLOUCESTER,96
MARINA,66
CORNWALL ON HUDSON,5
BROWN SUMMIT,1
MAPLE HEIGHTS,90
FORTSON,27
MELVILLE,55
PERRIS,326
PERRIN,5
TELFORD,43
FALCONER,3
WHITE RIVER JUNCTION,11
DUCK CREEK,1
WOODMERE,23
PATOKA,4
LINCOLNVILLE,5
GOBLES,9
HEMLOCK,15
POINT OF ROCKS,5
PICKFORD,5
PAWNEE CITY,1
LOS OLIVOS,4
OLYMPIC VALLEY,15
ROCK PORT,4
OLMSTED TWP,33
ATWOOD,15
NORTH WILKESBORO,18
AIRWAY HEIGHTS,11
FLORIDA CITY,44
GAMALIEL,6
MARINE,4
UNADILLA,15
MORAVIAN FLS,3
WATSONTOWN,5
GRAND RONDE,1
BEAVER MEADOWS,5
MARSTON,1
GOLIAD,9
CAVENDISH,2
HOLIDAY ISLE,1
E BRUNSWICK,30
MARION,679
JAMESTOWN KY 42629,1
LAKE LURE,10
VERNON,175
WELSH,9
WEST HARWICH,4
CAPITAN,6
HAZEL,4
WOOD DALE,58
ELLENVILLE,15
HAZEN,11
HUACHUCA CITY,24
FREEMANSBURG,5
MADBURY,4
SAWYER,8
STINSON BEACH,5
VANCLEAVE,58
EMBDEN,5
VOLANT,3
CHATT HILLS,2
MILLERTON,7
MOYIE SPRINGS,1
BEE SPRINGS,1
MONTGOMERY CREEK,5
THAYNE,3
SALYER,6
KEYESPORT,1
LAKE SPIVEY,1
PIPER CITY,2
LITTLE MTN,3
EAKLY,1
RUNNING SPRINGS,57
EHRENBERG,5
CONTOOCOOK,6
ALPINE,189
EL CENTRO,110
FLATWOODS,32
EDINBURGH,19
BURKESVILLE,13
NEW FREEDOM,20
JAMUL,38
HEDWIG VILLAGE,1
SOUTHPORT,206
MULLICA HILL,46
PRT WASHINGTN,12
EVANSVILLE,819
FORKSVILLE,1
FAIRMONT,102
JAMESBURG,34
FOUNTAIN HILL,18
CARNATION,21
FARMERSVILLE,57
HINDSBORO,2
FAIRBORN,110
NORBORNE,4
WAWAKA,1
ELKIN,14
SUCHES,8
BERKELEY SPRINGS,14
BYBEE,3
N MERRICK,1
CARBON,11
FORT PECK,1
OKATIE,39
PAINESVILLE,107
RYDAL,29
OJAI,85
HOT SPRINGS NATIONAL PARK,84
CLEARWATER BEACH,89
ALBIN,2
KENDRICK,2
PAULDING,17
MARCELL,2
SEDAN,5
GULLIVER,2
JOLIET,425
BANNER,4
ABELL,1
PEMBROKE PINES,901
ALBIA,17
DAV,1
MC DADE,2
HIGHLAND MLS,5
JASPER,361
PARK HALL,1
PRAIRIE HILL,1
LINE LEXINGTON,7
SAYRE,20
ULMAN,1
SECRETARY,3
PFLUGERVILLE,521
SWIFTWATER,2
WOOD RIDGE,40
TYRO,2
GLENNIE,5
RUSH CITY,19
RANDOLPH,174
BOTTINEAU,9
OLD BETHPAGE,8
KINLOCH,1
NORTH MYRTLE BEACH,149
YORKTOWN HTS,14
MCKENZIE,4
ASTATULA,11
DAVIDSON,44
INDIANTOWN,31
AURELIA,3
TIVERTON,13
CARRABELLE,39
ROCK CITY,5
THIEF RIVER FALLS,27
BLUE MOUNDS,6
POLLOCK,17
PRATTS,1
DUBLIN,811
FORT RECOVERY,2
UHLAND,4
DOUGLAS CITY,4
FOX CHASE,4
MISSISSIPPI STATE,1
OAKVALE,1
DED,1
SAINT ANTHONY,26
INDUSTRY,18
WILSON,148
DELAPLANE,4
HANSTON,1
CUMB GAP,1
SCHELLER,2
FREDERICKSBRG,102
NEW WHITELAND,12
STAPLEHURST,1
WASCOTT,1
TIMEWELL,1
MER ROUGE,5
PELAHATCHIE,10
HUMESTON,2
LUTHVLE TIMON,6
CEDAR,29
DFD,1
DILLER,2
DFH,1
DILLEY,7
LA VETA,9
CHEYENNE,346
LK PANASOFFKE,1
COLLEGE HILL,1
FORT VALLEY,58
STAFFORD TOWNSHIP,24
HOUSE SPRINGS,40
ROCKY POINT,56
CHILDERSBURG,23
COLLINSTON,5
PLUMAS LAKE,81
OAKLAND GDNS,4
FROSTBURG,17
FRENCH GULCH,1
RITFORD,1
PENDER,4
BOONS CAMP,2
BEATTIE,2
QUAKER HILL,16
FISHERS ISLAND,1
MAYHILL,3
DRAYDEN,1
DUNE ACRES,1
FORT MC COY,35
MONONA,23
LONDON,188
HARTFORD CITY,26
WOODHULL,5
POWERS LAKE,3
WAHPETON,13
DELPHIA,1
ELMER,29
FLINT HILL,2
NEWTON HLDS,1
SANDY VALLEY,5
UPPER ARLINGTON,19
MCCOY,2
PILGER,2
MOUNT HAMILTON,1
DIVIDE,16
MIDDLE GRANVILLE,1
ALDER,1
NATIONAL PARK,15
GREAT DIAMOND ISLAND,1
ALDEN,46
SCOTTSVILLE,80
TALLMANSVILLE,1
VIRGINIA BCH,222
DRY RUN,2
CA,2
APOLLO BEACH,334
WYTHEVILLE,29
E BRIDGEWATER,1
DECHERD,18
ARITON,6
SHALIMAR,97
PROVDENCE FRG,6
WEST BARNSTABLE,4
CASTLEWOOD,11
WILLOW SPGS,7
DIX,4
PT OF ROCKS,1
CTR TUFTNBORO,2
ANDOVER,271
LOMAN,1
REDINGTON BEACH,26
CHAPPAQUA,23
BETHPAGE,67
GLEN ELLEN,16
LAKE CHARLES,344
THIJH,1
CASTLEBERRY,5
BARDOLPH,1
MORIARTY,23
ELMENDORF,12
WACO,497
MARMET,1
REGO PARK,28
WOODS CROSS,37
MINOCQUA,19
SAMARIA,1
SAN PEDRO,173
BURDETT,4
MT DORA,2
GIBSON ISLAND,1
OIL SPRINGS,6
LOMAX,2
NORTH CHATHAM,2
CONEWANGO VALLEY,1
WEST HENRIETTA,24
UNIONVILLE CENTER,1
PORTERDALE,8
CRAMERTON,8
LOPEZ ISLAND,7
DIBOLL,13
SHAPLEIGH,6
SOUTH BURLINGTON,23
WOODY CREEK,1
MOSSVILLE,1
PLAINVILLE,81
ENGLEWD CLFS,1
BARTLETT,362
BOYCEVILLE,1
SELINSGROVE,14
STRUM,3
ALDAN,22
MABSCOTT,2
SOUTH PALM BEACH,22
WORLAND,16
ORLAND PARK,468
FLORAL PARK,64
ALCESTER,1
CORNELIUS,110
ARLINGTON HTS,62
LAFE,3
CHARLESTON AFB,1
LAUDERDALE,30
W LONG BRANCH,5
BEASON,1
CATHLAMET,13
WALLED LAKE,22
RICHLANDS,133
MAUGANSVILLE,2
WADE,16
BIRCHLEAF,2
HARVEY,182
JESSIVILLE,1
DUMAS,53
HOULKA,2
LOGSDEN,2
LANDOVER HLS,2
JEWELL RIDGE,1
LOVETTSVILLE,24
WINGINA,1
MILLRY,6
NEWBURYPORT,29
SOUTH JACKSONVILLE,8
HARVEL,1
CATLIN,7
WINSLOW,50
POESTENKILL,5
KEASBEY,7
LUCAMA,8
HEATH SPRINGS,13
FRANKLIN SQ,11
MATTAPOISETT,17
BAINBRIDGE IS,10
WAUZEKA,2
FEASTERVILLE TREVOSE,84
HEPHZIBAH,115
FISH HAVEN,2
FRIEDENS,4
PARKWAY,1
SOUTH SETAUKET,8
VEVAY,9
VICTORVILLE,586
RAVENNA,107
PEWAUKEE,19
NEOSHO,67
SHAVER LAKE,23
DOW,1
LAMOINE,2
GLADEWATER,45
NORTH JACKSON,8
WARE SHOALS,11
ROUND LAKE BEACH,97
FALLBROOK,223
CLIFFSIDE PARK,56
STONE MTN,98
BIG STONE GAP,16
CLAUDE,6
FORKED RIVER,139
FAIRLESS HLS,11
PICACHO,1
PENNSAUKEN TOWNSHIP,1
DILLARD,8
FRUITLAND,47
NASHOBA,2
MOCLIPS,1
MOYOCK,41
ASPERMONT,4
COCHRANTON,9
TILLATOBA,1
COLUMBUS GROVE,6
CORONA DE TUCSON,4
CENTER VALLEY,24
HURLEYVILLE,5
PORT HURON,72
CASEVILLE,8
DILLON,74
MENOKEN,1
FENNVILLE,18
KINGSPORT,201
PAWLEYS ISL,8
CLEMENTS,5
DOWLING PARK,3
EAST WILLISTON,5
GLENEDEN BEACH,6
MORELAND HLS,2
DRY FORK,10
APALACHICOLA,35
ATKINSON,38
CUSTER,44
RICHARDS,8
CONCRETE,10
CRYSTAL HILL,1
NORTH TURNER,1
ARCATA,77
LAIE,1
CHOUDRANT,4
SUISUN CITY,145
FLEMING,11
ALVERTON,1
DRUMMOND,4
MANHATTAN BEACH,106
TITUSVILLE,432
AVINGER,16
E FLAT ROCK,4
N TONAWANDA,21
DRT,1
SAUCIER,45
FERNDALE,243
WAKE,6
HOPLAND,5
SIGNAL MOUNTAIN,37
ARVIN,36
SAN YNEZ,1
MI,2
SCHOHARIE,9
CARDINGTON,16
ANNAPOLIS JUNCTION,1
MIDLAND,771
COLDSTREAM,2
EAST WALLINGFORD,1
MIDDLEFIELD,28
VILLA PARK,88
LAKE,29
LEWISTOWN,75
APPLE CREEK,7
SWAN,1
AGOURA HILLS,98
SOUTH OZON PARK,1
CUMBERLAND CENTER,1
LAMY,2
CYPRESS,1435
EMMAUS,40
MILLIS,12
NY,1
LAKE OZARK,48
S WILLIAMSPRT,1
BROOKEVILLE,18
LANE,13
CHUBBUCK,19
POQUOSON,40
